"Month","Year","AllBeds","OneBed","TwoBeds"
1,2011,2403,2054,2591
2,2011,2357,1934,2537
3,2011,2294,1928,2488
4,2011,2197,1849,2338
5,2011,2036,1707,2160
6,2011,1992,1602,2228
7,2011,2060,1649,2230
8,2011,2221,1757,2372
9,2011,2243,1820,2410
10,2011,2253,1883,2393
11,2011,2345,2033,2402
12,2011,2544,2203,2704
1,2012,2443,2206,2690
2,2012,2372,2163,2617
3,2012,2219,1920,2415
4,2012,2263,1982,2427
5,2012,2423,2129,2776
6,2012,2456,2102,2821
7,2012,2506,2157,2737
8,2012,2429,2112,2629
9,2012,2481,2116,2717
10,2012,2714,2283,2956
11,2012,2735,2441,2979
12,2012,2615,2362,2788
1,2013,2505,2227,2644
2,2013,2443,2173,2591
3,2013,2453,2199,2663
4,2013,2449,2162,2657
5,2013,2536,2187,2836
6,2013,2509,2224,2773
7,2013,2481,2174,2718
8,2013,2506,2204,2811
9,2013,2608,2293,2877
10,2013,2673,2448,2859
11,2013,2592,2406,2793
12,2013,2558,2316,2787
1,2014,2548,2287,2764
2,2014,2549,2235,2744
3,2014,2608,2311,2772
4,2014,2611,2261,2866
5,2014,2707,2354,3093
6,2014,2725,2371,3120
7,2014,2743,2373,3098
8,2014,2717,2350,3051
9,2014,2766,2411,3072
10,2014,2739,2414,3085
11,2014,2751,2409,3099
12,2014,2777,2408,3065
1,2015,2761,2381,3019
2,2015,2664,2322,2922
3,2015,2707,2340,3020
4,2015,2698,2314,2991
5,2015,2655,2264,2904
6,2015,2635,2234,2851
7,2015,2695,2297,2934
8,2015,2761,2364,3014
9,2015,2845,2444,3164
10,2015,2882,2498,3232
11,2015,2908,2531,3257
12,2015,2923,2523,3257
1,2016,2977,2532,3242
2,2016,3013,2529,3185
3,2016,2972,2528,3178
4,2016,2943,2525,3185
5,2016,2920,2531,3137
6,2016,2918,2514,3145
7,2016,2911,2512,3148
8,2016,2881,2495,3110
9,2016,3007,2656,3298
10,2016,2999,2643,3306
11,2016,2907,2522,3171
12,2016,2937,2513,3136
1,2017,2955,2455,3062
2,2017,2866,2375,2959
3,2017,2820,2347,2937
4,2017,2811,2402,2987
